City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saldanha,-33.0117,17.9442,62.13,79,100,24.94,ZA,1637705348
1,iquique,-20.2208,-70.1431,64.44,71,98,4.56,CL,1637705348
2,alekseyevsk,57.8406,108.3492,13.86,98,100,2.08,RU,1637705348
3,kamaishi,39.2667,141.8833,41.49,93,79,6.2,JP,1637705348
4,dikson,73.5069,80.5464,1.13,94,100,12.73,RU,1637705349
5,ahipara,-35.1667,173.1667,65.75,76,97,0.16,NZ,1637705349
6,leshukonskoye,64.8989,45.7622,5.04,100,98,3.24,RU,1637705349
7,tarija,-21.5355,-64.7296,66.27,85,100,6.76,BO,1637705101
8,tuatapere,-46.1333,167.6833,60.12,51,98,3.06,NZ,1637705350
9,disna,55.568,28.1971,30.25,95,97,6.87,BY,1637705350
10,padang,-0.9492,100.3543,76.41,73,100,3.96,ID,1637705350
11,mani,4.8172,-72.2886,79.32,80,100,2.1,CO,1637705351
12,cap malheureux,-19.9842,57.6142,72.09,84,65,12.57,MU,1637705351
13,ponta do sol,32.6667,-17.1,68.63,79,100,6.17,PT,1637705351
14,bouca,6.5105,18.2733,73.49,50,22,2.77,CF,1637705290
15,punta arenas,-53.15,-70.9167,51.91,58,0,31.07,CL,1637705351
16,hermanus,-34.4187,19.2345,63.9,79,93,9.1,ZA,1637705352
17,port lincoln,-34.7333,135.8667,64.83,79,38,7.7,AU,1637705352
18,albany,42.6001,-73.9662,31.26,57,12,7.0,US,1637705141
19,valparaiso,-33.0393,-71.6273,61.72,87,90,5.75,CL,1637705352
20,yellowknife,62.456,-114.3525,-12.59,96,100,7.23,CA,1637705216
21,broome,42.2506,-75.833,31.69,68,1,3.0,US,1637705353
22,gbarnga,6.9956,-9.4722,75.13,83,45,3.29,LR,1637705353
23,vaini,-21.2,-175.2,84.36,84,20,4.61,TO,1637705353
24,khatanga,71.9667,102.5,0.7,79,97,19.73,RU,1637705075
25,mount gambier,-37.8333,140.7667,61.23,81,99,3.38,AU,1637705354
26,pisco,-13.7,-76.2167,68.05,77,0,14.97,PE,1637705354
27,luton,51.8797,-0.4175,44.35,91,90,4.61,GB,1637705354
28,san francisco,37.7749,-122.4194,67.1,60,40,1.99,US,1637705162
29,gamba,-2.65,10.0,74.44,90,86,3.13,GA,1637705355
30,ixtapa,20.7,-105.2,83.23,74,1,9.22,MX,1637705355
31,rawson,-43.3002,-65.1023,78.31,33,89,22.39,AR,1637705179
32,busselton,-33.65,115.3333,54.05,75,1,7.4,AU,1637705355
33,kaitangata,-46.2817,169.8464,60.21,51,100,4.72,NZ,1637705355
34,mataura,-46.1927,168.8643,61.83,47,93,4.38,NZ,1637705355
35,rio gallegos,-51.6226,-69.2181,57.25,33,40,40.29,AR,1637705356
36,butaritari,3.0707,172.7902,82.02,73,100,16.75,KI,1637705356
37,karratha,-20.7377,116.8463,79.72,50,98,5.28,AU,1637705356
38,akureyri,65.6835,-18.0878,26.04,96,68,6.15,IS,1637705357
39,koulamoutou,-1.1303,12.4736,71.29,98,81,2.55,GA,1637705357
40,codrington,-38.2667,141.9667,62.38,85,85,5.48,AU,1637705357
41,ushuaia,-54.8,-68.3,44.26,81,75,9.22,AR,1637705262
42,vestmanna,62.1564,-7.1664,41.92,75,90,33.38,FO,1637705357
43,portales,34.1862,-103.3344,72.34,26,99,8.01,US,1637705358
44,ribeira grande,38.5167,-28.7,67.68,85,83,18.61,PT,1637705358
45,gat,31.61,34.7642,64.4,67,80,3.53,IL,1637705101
46,tasiilaq,65.6145,-37.6368,21.36,59,36,5.95,GL,1637705358
47,bengkulu,-3.8004,102.2655,74.95,85,99,3.02,ID,1637705359
48,el carmen,8.5106,-73.4478,70.07,98,93,2.21,CO,1637705359
49,carnarvon,-24.8667,113.6333,71.82,47,0,12.62,AU,1637705078
50,new norfolk,-42.7826,147.0587,66.76,70,100,0.74,AU,1637705359
51,durres,41.3231,19.4414,51.98,69,100,9.84,AL,1637705360
52,mecca,21.4267,39.8261,73.35,50,0,3.4,SA,1637705196
53,borogontsy,62.6683,131.1683,-11.36,95,100,2.68,RU,1637705360
54,esperance,-33.8667,121.9,58.3,69,6,4.94,AU,1637705069
55,georgetown,5.4112,100.3354,78.73,88,20,5.75,MY,1637705244
56,hobart,-42.8794,147.3294,67.12,78,0,6.91,AU,1637705176
57,bluff,-46.6,168.3333,55.65,71,100,13.8,NZ,1637705360
58,cape town,-33.9258,18.4232,64.11,63,100,17.49,ZA,1637705111
59,bathsheba,13.2167,-59.5167,81.21,78,40,10.36,BB,1637705361
60,balikpapan,-1.2675,116.8289,76.19,100,20,2.3,ID,1637705361
61,nantucket,41.2835,-70.0995,39.31,48,20,18.41,US,1637705361
62,sikonge,-5.6333,32.7667,70.88,70,97,2.77,TZ,1637705361
63,jamestown,42.097,-79.2353,33.71,90,90,5.99,US,1637705361
64,amga,60.8953,131.9608,-14.64,98,100,2.33,RU,1637705125
65,lorengau,-2.0226,147.2712,80.98,82,100,11.45,PG,1637705362
66,port hawkesbury,45.6169,-61.3485,56.17,95,90,11.01,CA,1637705362
67,virginia beach,36.8529,-75.978,44.02,46,5,1.99,US,1637705097
68,kapaa,22.0752,-159.319,84.18,71,1,3.0,US,1637705362
69,heswall,53.3273,-3.0965,47.98,82,75,5.01,GB,1637705363
70,castro,-24.7911,-50.0119,73.18,51,52,4.99,BR,1637705363
71,victoria,22.2855,114.1577,63.32,66,45,1.01,HK,1637705363
72,hasaki,35.7333,140.8333,45.0,58,0,17.72,JP,1637705364
73,airai,-8.9266,125.4092,62.78,80,100,1.39,TL,1637705364
74,milkovo,54.7167,158.6167,18.99,97,100,4.74,RU,1637705364
75,pahrump,36.2083,-115.9839,73.11,12,1,1.99,US,1637705218
76,rincon de la victoria,36.7172,-4.2758,52.84,67,72,6.71,ES,1637705364
77,thompson,55.7435,-97.8558,-0.24,78,90,12.66,CA,1637705365
78,saint-gilles,43.6766,4.4302,50.14,71,0,10.36,FR,1637705365
79,salalah,17.0151,54.0924,84.29,28,0,12.66,OM,1637705365
80,port alfred,-33.5906,26.891,62.53,66,91,17.38,ZA,1637705366
81,tomatlan,19.9333,-105.25,83.57,61,22,5.23,MX,1637705366
82,lisakovsk,52.5369,62.4936,13.71,90,100,10.67,KZ,1637705366
83,tiksi,71.6872,128.8694,-20.11,97,59,7.11,RU,1637705366
84,uitenhage,-33.7576,25.3971,56.41,67,51,8.9,ZA,1637705367
85,neftcala,39.3742,49.2472,55.87,88,0,10.42,AZ,1637705367
86,surt,31.2089,16.5887,69.62,70,98,8.32,LY,1637705367
87,barrow,71.2906,-156.7887,-0.38,78,75,0.0,US,1637705368
88,sherghati,24.5667,84.7833,58.41,37,0,3.24,IN,1637705368
89,williston,48.147,-103.618,48.92,41,55,3.49,US,1637705275
90,mahebourg,-20.4081,57.7,71.89,88,40,4.61,MU,1637705368
91,luderitz,-26.6481,15.1594,63.75,69,30,18.3,NA,1637705368
92,datong,40.0936,113.2914,22.93,57,3,3.98,CN,1637705369
93,strezhevoy,60.7333,77.5889,8.58,95,100,5.77,RU,1637705369
94,alyangula,-13.8483,136.4192,83.75,65,32,10.18,AU,1637705369
95,nikolskoye,59.7035,30.7861,31.87,83,86,7.49,RU,1637705370
96,flinders,-34.5833,150.8552,71.06,83,100,4.0,AU,1637705370
97,halifax,44.6453,-63.5724,37.47,95,100,8.01,CA,1637705088
98,port hardy,50.6996,-127.4199,45.82,75,63,6.6,CA,1637705370
99,bredasdorp,-34.5322,20.0403,56.28,80,77,2.8,ZA,1637705364
100,beaupre,47.0443,-70.8953,25.92,61,55,8.59,CA,1637705371
101,mikhaylovskoye,51.8239,79.7172,24.33,89,48,10.51,RU,1637705371
102,kamenskiy,50.8855,45.488,21.47,63,63,7.14,RU,1637705371
103,ketchikan,55.3422,-131.6461,39.67,81,90,4.61,US,1637705372
104,kupang,-10.1667,123.5833,77.58,100,20,2.3,ID,1637705372
105,san cristobal,7.7669,-72.225,71.78,86,64,2.77,VE,1637705372
106,pemangkat,1.1667,108.9667,75.69,85,68,4.61,ID,1637705372
107,alice springs,-23.7,133.8833,65.75,88,40,6.91,AU,1637705209
108,atuona,-9.8,-139.0333,77.81,77,27,15.08,PF,1637705373
109,nelson bay,-32.7167,152.15,74.08,81,98,1.99,AU,1637705373
110,avarua,-21.2078,-159.775,80.65,61,20,17.27,CK,1637705373
111,hamilton,39.1834,-84.5333,41.99,45,1,1.99,US,1637705325
112,casablanca,33.5928,-7.6192,56.75,68,73,4.41,MA,1637705374
113,turan,16.0678,108.2208,69.78,94,75,5.75,VN,1637705214
114,kayes,14.0,-11.0,85.15,16,32,2.75,ML,1637705374
115,rikitea,-23.1203,-134.9692,76.89,81,30,15.01,PF,1637705357
116,kavieng,-2.5744,150.7967,83.77,75,100,15.82,PG,1637705096
117,taft,31.7471,54.2088,50.49,73,0,7.78,IR,1637705374
118,cherskiy,68.75,161.3,-34.06,100,32,4.21,RU,1637705375
119,san patricio,28.017,-97.5169,77.41,48,60,10.92,US,1637705375
120,kutum,14.2,24.6667,62.08,22,1,8.86,SD,1637705220
121,sola,-13.8833,167.55,78.67,78,100,12.19,VU,1637705375
122,manzhouli,49.6,117.4333,-2.56,78,1,6.31,CN,1637705376
123,prince rupert,54.3161,-130.3201,39.72,82,100,5.91,CA,1637705153
124,te anau,-45.4167,167.7167,58.37,62,88,1.21,NZ,1637705376
125,saint-louis,16.3333,-15.0,88.38,17,33,8.77,SN,1637705376
126,chuy,-33.6971,-53.4616,58.66,64,0,8.93,UY,1637705377
127,conde,-7.2597,-34.9075,80.06,78,20,5.75,BR,1637705377
128,tonbridge,51.1924,0.2753,42.82,93,1,2.53,GB,1637705377
129,xuddur,4.1213,43.8894,73.98,47,79,7.25,SO,1637705377
130,stornoway,58.2093,-6.3865,48.92,88,75,5.01,GB,1637705378
131,wewak,-3.5534,143.6268,80.02,86,98,5.39,PG,1637705378
132,cachoeira do sul,-30.0392,-52.8939,74.89,45,100,7.83,BR,1637705378
133,awbari,26.5921,12.7805,69.51,26,94,5.1,LY,1637705379
134,grindavik,63.8424,-22.4338,34.27,80,40,21.85,IS,1637705379
135,marawi,7.9986,124.2928,66.65,95,91,1.25,PH,1637705379
136,camacha,33.0833,-16.3333,65.16,77,40,14.97,PT,1637705379
137,seymchan,62.8833,152.4333,-33.97,100,69,0.92,RU,1637705380
138,tuktoyaktuk,69.4541,-133.0374,-4.25,97,100,2.15,CA,1637705380
139,pacific grove,36.6177,-121.9166,69.39,76,20,3.0,US,1637705247
140,chokurdakh,70.6333,147.9167,-26.43,99,98,5.86,RU,1637705380
141,souillac,-20.5167,57.5167,71.98,88,40,4.61,MU,1637705381
142,shimoda,34.6667,138.95,48.11,64,3,29.26,JP,1637705381
143,mar del plata,-38.0023,-57.5575,65.48,58,22,18.28,AR,1637705361
144,clyde river,70.4692,-68.5914,16.02,94,100,13.98,CA,1637705173
145,fortuna,40.5982,-124.1573,58.48,69,1,5.99,US,1637705381
146,bangkalan,-7.0455,112.7351,75.15,91,100,7.29,ID,1637705381
147,victor harbor,-35.5667,138.6167,69.73,95,100,8.39,AU,1637705382
148,dalmatovo,56.26,62.9362,15.44,83,38,14.2,RU,1637705382
149,qaanaaq,77.484,-69.3632,-6.11,67,83,9.55,GL,1637705382
150,coquimbo,-29.9533,-71.3436,62.33,72,20,11.5,CL,1637705281
151,pierre,44.3683,-100.351,54.28,42,1,8.05,US,1637705383
152,palmer,42.1584,-72.3287,35.47,43,20,8.01,US,1637705383
153,west bay,19.3667,-81.4167,80.67,71,75,1.99,KY,1637705383
154,sudak,44.85,34.9667,40.66,91,100,10.11,UA,1637705383
155,diamantino,-14.4086,-56.4461,76.57,87,99,2.17,BR,1637705384
156,bay roberts,47.5999,-53.2648,43.34,86,100,8.99,CA,1637705384
157,sisimiut,66.9395,-53.6735,23.45,54,100,25.68,GL,1637705384
158,predivinsk,57.0669,93.4378,31.21,81,100,11.12,RU,1637705384
159,bethel,41.3712,-73.414,38.55,43,1,5.01,US,1637705385
160,muros,42.7762,-9.0603,52.84,71,45,17.36,ES,1637705362
161,kharan,28.5833,65.4167,61.99,25,2,4.85,PK,1637705385
162,cidreira,-30.1811,-50.2056,67.14,65,1,10.94,BR,1637705385
163,urumqi,43.801,87.6005,14.95,93,71,0.0,CN,1637705386
164,shilong,23.1123,113.8425,61.09,50,14,5.28,CN,1637705386
165,kurilsk,45.2333,147.8833,37.44,71,79,9.4,RU,1637705386
166,kosh-agach,50.0,88.6667,15.58,80,100,4.79,RU,1637705386
167,sao joao da barra,-21.6403,-41.0511,72.57,85,5,9.93,BR,1637705387
168,karatau,43.1667,70.4667,39.25,55,14,1.25,KZ,1637705387
169,bambous virieux,-20.3428,57.7575,71.85,88,40,4.61,MU,1637705387
170,east london,-33.0153,27.9116,61.39,72,72,19.46,ZA,1637705388
171,tukrah,32.5341,20.5791,66.56,61,53,7.38,LY,1637705388
172,kamenka,51.3223,42.7678,17.74,65,6,5.3,RU,1637705388
173,meulaboh,4.1363,96.1285,76.42,86,100,5.06,ID,1637705388
174,asfi,32.2994,-9.2372,61.39,75,62,6.17,MA,1637705389
175,fairbanks,64.8378,-147.7164,-4.0,62,1,0.0,US,1637705105
176,yar-sale,66.8333,70.8333,8.53,96,97,8.5,RU,1637705389
177,shingu,33.7333,135.9833,47.73,71,21,12.62,JP,1637705389
178,hilo,19.7297,-155.09,80.33,69,1,8.05,US,1637705130
179,ilhabela,-23.7781,-45.3581,73.9,73,26,3.44,BR,1637705390
180,aktau,43.65,51.2,45.18,78,72,10.98,KZ,1637705390
181,lodwar,3.1191,35.5973,82.42,45,3,1.79,KE,1637705390
182,yanggu,36.1106,115.7753,36.23,53,0,5.82,CN,1637705390
183,vaasa,63.096,21.6158,39.22,87,20,16.11,FI,1637705391
184,ustka,54.5805,16.8619,46.33,88,88,15.41,PL,1637705391
185,luanda,-8.8368,13.2343,78.8,83,40,9.22,AO,1637705391
186,rapid valley,44.0625,-103.1463,63.07,23,1,1.99,US,1637705391
187,pringsewu,-5.3582,104.9744,73.54,84,100,2.15,ID,1637705392
188,hithadhoo,-0.6,73.0833,82.22,75,99,18.7,MV,1637705392
189,carinhanha,-14.3047,-43.765,78.22,75,100,3.89,BR,1637705392
190,puerto baquerizo moreno,-0.9,-89.6,72.59,73,20,13.8,EC,1637705393
191,viedma,-40.8135,-62.9967,84.88,19,92,14.07,AR,1637705177
192,pimentel,-6.8367,-79.9342,70.09,64,0,20.71,PE,1637705393
193,ancud,-41.8697,-73.8203,66.42,85,41,8.46,CL,1637705394
194,kaeo,-35.1,173.7833,65.32,87,88,8.66,NZ,1637705394
195,batsfjord,70.6345,29.7185,22.93,79,0,8.05,NO,1637705394
196,iquitos,-3.7481,-73.2472,80.64,78,75,2.3,PE,1637705094
197,aswan,24.0934,32.907,65.98,48,0,8.34,EG,1637705134
198,ilulissat,69.2167,-51.1,19.42,42,100,14.97,GL,1637705394
199,kant,27.8,79.8,58.84,54,0,3.33,IN,1637705395
200,los llanos de aridane,28.6585,-17.9182,65.12,83,0,6.91,ES,1637705395
201,kolokani,13.5728,-8.0339,77.52,25,2,8.3,ML,1637705395
202,ostrovnoy,68.0531,39.5131,21.99,92,100,5.17,RU,1637705396
203,klaksvik,62.2266,-6.589,43.72,88,100,37.42,FO,1637705172
204,wajir,1.7471,40.0573,83.62,47,80,10.47,KE,1637705396
205,mashhad,36.297,59.6062,48.34,71,20,0.0,IR,1637705183
206,nhamunda,-2.1861,-56.7131,81.01,68,89,3.31,BR,1637705396
207,anupshahr,28.3667,78.2667,59.94,33,0,3.29,IN,1637705397
208,takoradi,4.8845,-1.7554,80.15,82,60,7.9,GH,1637705397
209,tiquisio,8.5597,-74.2669,75.6,98,96,4.05,CO,1637705397
210,port elizabeth,-33.918,25.5701,57.09,60,72,12.01,ZA,1637705397
211,arraial do cabo,-22.9661,-42.0278,72.48,86,5,9.55,BR,1637705398
212,norman wells,65.282,-126.8329,-11.51,96,100,3.36,CA,1637705398
213,udachnyy,66.4167,112.4,-25.26,97,64,7.63,RU,1637705398
214,saskylakh,71.9167,114.0833,-23.01,94,13,11.32,RU,1637705398
215,abha,18.2164,42.5053,53.85,22,0,5.75,SA,1637705399
216,tabas,33.5959,56.9244,60.35,63,100,2.95,IR,1637705399
217,nouadhibou,20.931,-17.0347,71.53,73,100,15.79,MR,1637705399
218,olafsvik,64.8945,-23.7142,33.82,70,71,21.72,IS,1637705400
219,alta floresta,-9.8756,-56.0861,75.4,94,86,3.49,BR,1637705400
220,vanimo,-2.6741,141.3028,80.01,84,100,4.03,PG,1637705400
221,longyearbyen,78.2186,15.6401,4.84,72,20,11.5,SJ,1637705401
222,upernavik,72.7868,-56.1549,0.01,68,6,8.9,GL,1637705401
223,sadiqabad,28.3062,70.1307,68.77,13,0,5.68,PK,1637705401
224,novoagansk,61.9449,76.6625,10.6,95,100,7.18,RU,1637705401
225,sukagawa,37.2833,140.3833,44.11,90,75,2.3,JP,1637705402
226,tilichiki,60.4667,166.1,-0.6,91,84,9.26,RU,1637705403
227,puerto ayora,-0.7393,-90.3518,76.96,76,28,11.65,EC,1637705403
228,saint-francois,46.4154,3.9054,31.68,89,2,2.3,FR,1637705359
229,jaciara,-15.9653,-54.9683,77.56,84,100,1.77,BR,1637705403
230,kayiry,46.9454,33.7059,34.72,58,15,8.16,UA,1637705404
231,puerto colombia,10.9878,-74.9547,80.69,76,100,11.54,CO,1637705404
232,lebu,-37.6167,-73.65,59.31,79,0,16.91,CL,1637705404
233,kavaratti,10.5669,72.642,81.19,79,68,12.46,IN,1637705405
234,honiara,-9.4333,159.95,84.63,71,90,5.84,SB,1637705405
235,umm kaddadah,13.6017,26.6876,69.82,20,4,13.22,SD,1637705405
236,peniche,39.3558,-9.3811,54.63,72,6,4.18,PT,1637705405
237,hervey bay,-25.2986,152.8535,82.04,82,100,3.0,AU,1637705189
238,dalvik,65.9702,-18.5286,33.64,98,89,27.96,IS,1637705406
239,chapais,49.7834,-74.8492,17.38,94,100,4.21,CA,1637705406
240,inuvik,68.3499,-133.7218,-17.77,99,100,3.4,CA,1637705406
241,moree,-29.4667,149.85,73.42,64,100,16.11,AU,1637705406
242,porto novo,6.4965,2.6036,80.44,86,95,7.27,BJ,1637705367
243,oranjemund,-28.55,16.4333,60.89,88,78,14.83,NA,1637705407
244,dalbandin,28.8947,64.4101,60.35,26,4,4.7,PK,1637705407
245,caravelas,-17.7125,-39.2481,72.21,86,26,6.26,BR,1637705407
246,saint-philippe,-21.3585,55.7679,73.22,77,64,11.16,RE,1637705408
247,the valley,18.217,-63.0578,80.82,78,20,6.91,AI,1637705408
248,pedernales,18.0384,-71.744,79.56,78,97,1.48,DO,1637705408
249,kodiak,57.79,-152.4072,17.11,53,1,5.75,US,1637705337
250,nuuk,64.1835,-51.7216,36.21,93,75,49.48,GL,1637705409
251,carutapera,-1.195,-46.02,80.28,78,98,8.95,BR,1637705409
252,port shepstone,-30.7414,30.455,64.06,67,63,22.62,ZA,1637705409
253,simbahan,6.3032,120.5836,83.77,76,75,15.75,PH,1637705410
254,asau,46.4333,26.4,37.76,94,70,2.33,RO,1637705410
255,petropavlovsk-kamchatskiy,53.0452,158.6483,25.39,86,75,4.47,RU,1637705410
256,auki,-8.7676,160.7034,84.51,65,55,3.31,SB,1637705410
257,talnakh,69.4865,88.3972,11.84,92,100,11.52,RU,1637705411
258,jibuti,11.5,42.5,74.62,64,77,5.55,DJ,1637705411
259,colonia,50.9333,6.95,43.09,94,90,3.44,DE,1637705235
260,dong hoi,17.4833,106.6,62.74,89,100,12.5,VN,1637705237
261,bafoulabe,13.8065,-10.8321,84.51,18,24,2.82,ML,1637705412
262,zaykovo,57.5613,62.7568,19.36,86,96,11.39,RU,1637705412
263,tres arroyos,-38.3739,-60.2798,83.95,15,49,13.31,AR,1637705412
264,lompoc,34.6391,-120.4579,79.79,55,1,12.66,US,1637705412
265,iqaluit,63.7506,-68.5145,25.7,68,100,15.01,CA,1637705282
266,lagoa,39.05,-27.9833,66.22,84,100,22.35,PT,1637705413
267,puerto madryn,-42.7692,-65.0385,81.97,29,73,27.47,AR,1637705413
268,aguas formosas,-17.0822,-40.9358,72.72,92,13,2.48,BR,1637705413
269,anadyr,64.75,177.4833,-17.9,75,20,11.01,RU,1637705413
270,wittelsheim,47.8094,7.2402,39.74,90,0,5.99,FR,1637705414
271,bend,44.0582,-121.3153,41.45,74,1,1.99,US,1637705414
272,pedro ii,-4.4247,-41.4586,83.17,41,96,6.22,BR,1637705414
273,fuerte olimpo,-21.0415,-57.8738,86.29,61,97,4.61,PY,1637705415
274,oksfjord,70.2396,22.3479,20.32,91,83,3.09,NO,1637705177
275,raton,36.9034,-104.4391,64.06,15,1,14.97,US,1637705269
276,kitimat,54.0524,-128.6534,40.91,32,97,1.01,CA,1637705415
277,praia,14.9215,-23.5087,77.54,78,0,14.97,CV,1637705415
278,kruisfontein,-34.0033,24.7314,54.88,72,75,8.19,ZA,1637705416
279,vao,-22.6667,167.4833,74.66,73,100,9.33,NC,1637705173
280,gorkovskiy,45.6542,41.199,38.77,96,100,8.68,RU,1637705416
281,richards bay,-28.783,32.0377,68.56,63,81,16.33,ZA,1637705416
282,thinadhoo,0.5333,72.9333,81.84,76,100,16.58,MV,1637705417
